Target_X,Target_Y,Actual_X,Actual_Y,Error_X,Error_Y,Correction_X,Correction_Y,Temperature,Vibration,Speed,Stage_Load,Direction,Previous_Error_X,Previous_Error_Y,Time_Since_Calibration
405,70,405.0259602262107,70.05677051969981,0.025960226210693202,0.05677051969980924,-0.025960226210693202,-0.05677051969980924,29.9926419015578,0.9507143064099162,159.79909127171078,0.6789267873576292,LEFT,0.0,0.0,1
470,175,470.02486093534816,174.9757135835546,0.0248609353481491,-0.024286416445380744,-0.0248609353481491,0.024286416445380744,37.31908225280675,0.21233911067827616,77.2737450810651,0.34672360788274703,RIGHT,0.025960226210693202,0.05677051969980924,2
140,85,140.01061337016165,84.97433457125682,0.01061337016166388,-0.025665428743181343,-0.01061337016166388,0.025665428743181343,28.67431437656349,0.3663618432936917,118.41049763255539,0.8281407691144109,LEFT,0.0248609353481491,-0.024286416445380744,3
430,470,429.9791067430159,470.0515323001412,-0.020893256984084337,0.05153230014122571,0.020893256984084337,-0.05153230014122571,25.040825487764472,0.9488855372533332,194.8448049611839,0.846717878493169,LEFT,0.01061337016166388,-0.025665428743181343,4
375,270,375.01543340552433,269.9618089792332,0.015433405524340409,-0.03819102076684025,-0.015433405524340409,0.03819102076684025,25.95261175751646,0.4951769101112702,55.15827816728276,0.9274563216630256,LEFT,-0.020893256984084337,0.05153230014122571,5
15,55,15.017798689112107,54.99968586063142,0.01779868911210776,-0.00031413936857428715,-0.01779868911210776,0.00031413936857428715,32.747364469492474,0.18485445552552704,195.4376941646838,0.8201062586888916,RIGHT,0.015433405524340409,-0.03819102076684025,6
145,320,144.99312694174859,320.0417930896499,-0.006873058251411053,0.04179308964988024,0.006873058251411053,-0.04179308964988024,37.25980014643087,0.3567533266935893,92.14017645310712,0.6341568665265989,LEFT,0.01779868911210776,-0.00031413936857428715,7
355,125,355.01164594374217,125.00934133522358,0.011645943742147884,0.009341335223581774,-0.011645943742147884,-0.009341335223581774,35.30971750156188,0.7290071680409873,165.69055200289188,0.2592357213872723,DOWN,-0.006873058251411053,0.04179308964988024,8
140,285,140.0287663761158,285.01524207100704,0.028766376115797822,0.015242071007038687,-0.028766376115797822,-0.015242071007038687,28.975717147450595,0.32518332202674705,159.4409267507096,0.7100459770841705,UP,0.011645943742147884,0.009341335223581774,9
0,485,0.05175474089765949,484.97142708923815,0.05175474089765949,-0.028572910761836885,-0.05175474089765949,0.028572910761836885,36.33547487927298,0.49379559636439074,128.40992440729912,0.5420328146868397,RIGHT,0.028766376115797822,0.015242071007038687,10
